422.79000	6861
422.79002	7017
422.79004	7015
422.79006	6959
422.79008	7133
422.79010	6986
422.79012	6776
422.79014	6749
422.79016	6856
422.79020	6899
422.79022	6798
422.79024	7057
422.79026	7088
422.79028	7034
422.79030	7003
422.79032	7009
422.79036	7186
422.79038	7209
422.79040	7120
422.79042	7167
422.79044	7219
422.79046	7201
422.79048	7279
422.79050	7193
422.79052	7533
422.79054	7254
422.79056	7557
422.79058	7373
422.79060	7462
422.79064	7799
422.79066	7812
422.79068	8399
422.79070	8462
422.79072	8951
422.79074	9550
422.79076	11172
422.79078	13524
422.79080	19065
422.79082	31670
422.79084	18130
422.79086	14394
422.79088	13237
422.79090	12737
422.79094	13168
422.79096	13794
422.79098	14464
422.79100	15169
422.79102	16138
422.79104	17110
422.79108	19791
422.79112	22995
422.79114	25796
422.79116	30006
422.79118	36942
422.79120	48373
422.79122	74711
422.79124	135797
422.79126	184044
422.79128	133999
422.79130	87236
422.79132	69299
422.79134	62598
422.79136	59566
422.79138	63704
422.79140	68837
422.79142	74171
422.79144	84999
422.79146	105547
422.79148	139602
422.79150	154859
422.79154	171201
422.79156	209436
422.79158	265133
422.79160	346393
422.79162	478592
422.79164	692347
422.79166	1111181
422.79168	2011338
422.79170	4322543
422.79172	6777512
422.79174	6000212
422.79176	3238710
422.79178	1710399
422.79180	1001161
422.79182	649299
422.79184	445114
422.79186	325619
422.79188	245579
422.79190	192343
422.79192	152840
422.79194	124059
422.79196	103277
422.79198	86751
422.79200	74899
422.79202	64269
422.79204	57070
422.79206	50101
422.79208	44628
422.79210	40040
422.79212	36120
422.79214	33311
422.79216	32103
422.79218	27716
422.79220	25924
422.79222	24147
422.79224	22720
422.79226	21436
422.79228	20512
422.79230	19406
422.79232	17804
422.79234	16773
422.79236	16253
422.79238	15144
422.79240	14545
422.79242	13619
422.79244	13171
422.79246	12254
422.79248	11722
422.79250	11012
422.79252	10359
422.79254	10227
422.79256	9970
422.79258	9452
422.79260	9152
422.79262	9139
422.79264	8737
422.79266	8541
422.79268	8578
422.79270	8148
422.79272	8090
422.79274	8103
422.79276	7984
422.79278	7980
422.79280	7914
422.79282	7617
422.79284	7572
422.79286	7301
422.79288	7430
422.79290	7372
422.79292	7428
422.79294	7336
422.79296	7187
422.79298	7311
422.79300	7275
